,oxy1_adc,mV0_1,oxy2_adc,mV0_2
764,105,0.001641,104,0.001625
765,106,0.001656,104,0.001625
766,106,0.001656,105,0.001641
767,106,0.001656,105,0.001641
768,106,0.001656,103,0.001609
769,106,0.001656,104,0.001625
770,107,0.001672,104,0.001625
771,106,0.001656,106,0.001656
772,105,0.001641,104,0.001625
773,106,0.001656,105,0.001641
774,108,0.001687,105,0.001641
775,106,0.001656,104,0.001625
776,106,0.001656,104,0.001625
777,107,0.001672,106,0.001656
778,106,0.001656,105,0.001641
779,107,0.001672,104,0.001625
780,107,0.001672,105,0.001641
781,107,0.001672,103,0.001609
782,106,0.001656,105,0.001641
783,107,0.001672,104,0.001625
784,106,0.001656,104,0.001625
785,107,0.001672,104,0.001625
786,107,0.001672,105,0.001641
787,106,0.001656,105,0.001641
788,107,0.001672,103,0.001609
789,106,0.001656,104,0.001625
790,107,0.001672,104,0.001625
791,107,0.001672,103,0.001609
792,106,0.001656,104,0.001625
793,105,0.001641,104,0.001625
794,106,0.001656,105,0.001641
795,107,0.001672,104,0.001625
796,106,0.001656,104,0.001625
797,107,0.001672,104,0.001625
798,106,0.001656,104,0.001625
799,106,0.001656,104,0.001625
800,106,0.001656,104,0.001625
801,105,0.001641,104,0.001625
802,106,0.001656,103,0.001609
803,107,0.001672,103,0.001609
804,106,0.001656,103,0.001609
805,106,0.001656,103,0.001609
806,106,0.001656,104,0.001625
807,107,0.001672,105,0.001641
808,106,0.001656,104,0.001625
809,106,0.001656,104,0.001625
810,107,0.001672,104,0.001625
811,108,0.001687,104,0.001625
812,106,0.001656,105,0.001641
813,106,0.001656,104,0.001625
814,106,0.001656,104,0.001625
815,107,0.001672,104,0.001625
816,106,0.001656,103,0.001609
817,106,0.001656,104,0.001625
818,106,0.001656,103,0.001609
819,105,0.001641,104,0.001625
820,105,0.001641,103,0.001609
821,106,0.001656,103,0.001609
822,106,0.001656,103,0.001609
823,105,0.001641,104,0.001625
824,107,0.001672,104,0.001625
825,106,0.001656,105,0.001641
826,105,0.001641,102,0.001594
827,106,0.001656,104,0.001625
828,106,0.001656,105,0.001641
829,106,0.001656,103,0.001609
830,106,0.001656,103,0.001609
831,106,0.001656,105,0.001641
832,107,0.001672,104,0.001625
833,106,0.001656,105,0.001641
834,106,0.001656,104,0.001625
835,107,0.001672,106,0.001656
836,106,0.001656,103,0.001609
837,106,0.001656,102,0.001594
838,105,0.001641,104,0.001625
839,105,0.001641,104,0.001625
840,105,0.001641,105,0.001641
841,107,0.001672,103,0.001609
842,106,0.001656,104,0.001625
843,105,0.001641,103,0.001609
844,104,0.001625,104,0.001625
845,107,0.001672,104,0.001625
846,105,0.001641,102,0.001594
847,106,0.001656,104,0.001625
848,106,0.001656,103,0.001609
849,105,0.001641,103,0.001609
850,105,0.001641,104,0.001625
851,105,0.001641,103,0.001609
852,105,0.001641,103,0.001609
853,106,0.001656,103,0.001609
854,105,0.001641,103,0.001609
855,105,0.001641,103,0.001609
856,106,0.001656,104,0.001625
857,105,0.001641,103,0.001609
858,106,0.001656,104,0.001625
859,105,0.001641,104,0.001625
860,106,0.001656,104,0.001625
861,107,0.001672,104,0.001625
862,106,0.001656,104,0.001625
863,105,0.001641,103,0.001609
864,105,0.001641,104,0.001625
